genotype,summary
Rs104894868,[u'common in clinvar']
Rs104895093,[u'Carrier of a familial mediterranean fever mutation']
Rs104894911,[u'common in clinvar']
Rs1049650,[u'common in clinvar']
Rs10492972,[u'conflicting reports; possible slight increased risk for multiple sclerosis']
Rs10516487,[u'slightly higher risk for lupus']
Rs10502868,[u'common in complete genomics']
Rs1050384,[u'common in clinvar']
Rs10515552,[u'common in complete genomics']
Rs104894960,[u'common in clinvar']
Rs1050341,[u'common in clinvar']
Rs104894950,[u'common in clinvar']
Rs1050283,[u'normal risk']
Rs1050565,"[u'if testicular cancer patient, 5x poorer response to bleomycin chemotherapy']"
Rs10504390,[]
Rs104894962,[u'common in clinvar']
Rs104894934,[u'common in clinvar']
Rs104895083,[u'Carrier of a familial mediterranean fever mutation']
Rs104895505,[u'common in clinvar']
Rs10498514,[u'common in complete genomics']
Rs104894862,[u'common in clinvar']
Rs104894919,[u'common in clinvar']
Rs1051338,[u'common in clinvar']
Rs104895362,[u'common in clinvar']
Rs104895438,[u'common in clinvar']
Rs10501920,[u'common in complete genomics']
Rs1050388,[u'common in clinvar']
Rs104894846,[u'common in clinvar']
Rs10501570,"[u""Normal risk of developing Parkinson's Disease""]"
Rs10491734,[u'1.4x risk of early onset OCD']
Rs104894942,[u'common in clinvar']
Rs1050357,[u'common in clinvar']
Rs104895074,[u'common in clinvar']
Rs1052030,[u'common in clinvar']
Rs104895218,[u'common in clinvar']
Rs104895530,[u'common in clinvar']
Rs104895461,[u'common in clinvar']
Rs1050716,[u'common in clinvar']
Rs104895319,[u'common in clinvar']
Rs10513789,"[u""Very common. Normal risk of Parkinson's disease.""]"
Rs1050517,[u'common in clinvar']
Rs1054894,[]
Rs1050459,[u'common in clinvar']
Rs104894942,[u'carrier of a Barth syndrome allele']
Rs1050450,[u'common in clinvar']
Rs104895097,[u'common in clinvar']
Rs104894945,[u'common in clinvar']
Rs104894892,[u'common in clinvar']
Rs104895554,[u'common in clinvar']
Rs10510468,[u'common in complete genomics']
Rs104894863,[u'common in clinvar']
Rs104894941,[u'carrier of a Barth syndrome allele']
Rs10503669,[]
Rs1055849,[u'common in clinvar']
Rs104894852,[u'common in clinvar']
Rs104895462,[u'common in clinvar']
Rs1055348,[u'common in clinvar']
Rs10492519,[u'Increased risk of developing prostate cancer']
Rs10512049,[u'common in complete genomics']
Rs104894867,[u'common in clinvar']
Rs104895157,[u'common in clinvar']
Rs104894840,[u'common in clinvar']
Rs1050276,[u'common in clinvar']
Rs104895472,[u'common in clinvar']
Rs10489759,[u'common in complete genomics']
Rs1050086,[u'common in clinvar']
Rs104895298,[u'common in clinvar']
Rs104894972,[u'common in clinvar']
Rs104894849,[u'common in clinvar']
Rs10494778,[u'common in complete genomics']
Rs104895091,[u'common in clinvar']
Rs104894928,[u'common in clinvar']
Rs10503019,[]
Rs104895085,[u'common in clinvar']
Rs104895083,[u'common in clinvar']
Rs104894946,[u'common in clinvar']
Rs10516526,[u'common on affy axiom data']
Rs104894902,[u'common in clinvar']
Rs104895076,[u'Carrier of a familial mediterranean fever mutation']
Rs104895295,[u'common in clinvar']
Rs104894936,[u'common in clinvar']
Rs104894932,[u'common in clinvar']
Rs104895093,[u'Familial Mediterranean Fever']
Rs104894860,[u'common in clinvar']
Rs104894929,[u'common in clinvar']
Rs104894964,[u'common in clinvar']
Rs10501320,[u'common on affy axiom data']
Rs104894931,[u'common in clinvar']
Rs104894880,[u'common in clinvar']
Rs1050379,[u'common in clinvar']
Rs10507391,[u'1.24x increased stroke risk for males']
Rs104894915,[u'common in clinvar']
Rs104895304,[u'common in clinvar']
Rs104894866,[u'common in clinvar']
Rs1055890,[u'common in clinvar']
Rs1050631,[u'Mean Survival Time of 25 months for esophageal squamous-cell carcinoma']
Rs104894922,[u'common in clinvar']
Rs104894917,[u'common in clinvar']
Rs104895221,[u'common in clinvar']
Rs1049296,[u'Heterozygote carrying both C1 and C2 transferrin subtypes; very slightly higher risk for Alzheimers']
Rs104895502,[u'common in clinvar']
Rs104895228,[u'common in clinvar']
Rs10520789,[u'common in complete genomics']
Rs104894974,[u'common in clinvar']
Rs104894871,[u'common in clinvar']
Rs10490924,[u'normal']
Rs10494366,[u'Shorter QT interval']
Rs1049174,[u'0.48x reduced risk for colorectal cancer']
Rs10497203,[u'common in clinvar']
Rs104895204,[u'common in clinvar']
Rs1049353,[u'more resistant to treatment for depression']
Rs1050828,[u'G6PD deficiency']
Rs1055138,[u'likely to be benign']
Rs1051488,[u'common in clinvar']
Rs1052133,[u'normal']
Rs104894841,[u'common in clinvar']
Rs10508372,[u'common in complete genomics']
Rs10492519,[u'Normal risk of developing prostate cancer']
Rs10495584,"[u""Lowers men's blood pressure by -6.3/-3.8 mm Hg.""]"
Rs104894910,[u'common in clinvar']
Rs104895079,[u'common in clinvar']
Rs10519613,[u'common in complete genomics']
Rs104894885,[u'common in clinvar']
Rs1050106,[u'common in clinvar']
Rs104895382,[u'common in clinvar']
Rs10513137,[u'common in complete genomics']
Rs1049742,[u'common on affy axiom data']
Rs104894954,[u'common in clinvar']
Rs104894912,[u'common in clinvar']
Rs10505483,[u'None']
Rs10509681,[]
Rs10510089,[u'common in complete genomics']
Rs104895076,[u'common in clinvar']
Rs104894882,[u'common in clinvar']
Rs1055061,[u'common in complete genomics']
Rs104894959,[u'common in clinvar']
Rs1050462,[u'common in clinvar']
Rs104895072,[u'common in clinvar']
Rs1049550,[u'1.6x increased risk of sarcoidosis']
Rs10497721,[u'common on affy axiom data']
Rs10490625,[u'common in complete genomics']
Rs104894971,[u'common in clinvar']
Rs104895460,[u'common in clinvar']
Rs104894938,[u'common in clinvar']
Rs10516809,[u'common in complete genomics']
Rs104895105,[u'common in clinvar']
Rs1050696,[u'common in clinvar']
Rs104894888,[u'common in clinvar']
Rs10489629,[u'normal risk']
Rs10492604,[u'common on affy axiom data']
Rs104895097,[u'familial mediterranean fever']
Rs104894961,[u'common in clinvar']
Rs104894901,[u'common in clinvar']
Rs1050642,[u'common in clinvar']
Rs104895323,[u'common in clinvar']
Rs10498345,[u'&lt;0.5x decreased risk for coronary spasm']
Rs10510634,[u'common in complete genomics']
Rs1050823,[u'common in clinvar']
Rs104895360,[u'common in clinvar']
Rs104895476,[u'common in clinvar']
Rs1050152,[u'normal']
Rs104894925,[u'common in clinvar']
Rs104894887,[u'common in clinvar']
Rs10508517,[]
Rs104895073,[u'common in clinvar']
Rs1049550,[]
Rs104894976,[u'common in clinvar']
Rs10490923,[u'common in complete genomics']
Rs104894839,[u'common in clinvar']
Rs104894883,[u'common in clinvar']
Rs104894875,[u'common in clinvar']
Rs1049724,[u'common in clinvar']
Rs104894847,[u'common in clinvar']
Rs10519262,[u'average']
Rs1053312,[]
Rs104894951,[u'common in clinvar']
Rs10509305,[u'fetuses with this genotype may cause maternal pre-eclampsia']
Rs10499194,[u'protective against rheumatoid arthritis for asians']
Rs10515860,[u'common in complete genomics']
Rs104894856,[u'common in clinvar']
Rs10505806,[u'aspirin use may increase colorectal cancer risk a bit']
Rs1050373,[u'common in clinvar']
Rs1050828,[u'common in clinvar']
Rs104894967,[u'common in clinvar']
Rs1050628,[u'common in clinvar']
Rs1050343,[u'common in clinvar']
Rs104894968,[u'common in clinvar']
Rs104895085,[u'Carrier of a familial mediterranean fever mutation']
Rs1049174,[u'normal']
Rs1048990,[u'common']
Rs1052133,[u'normal for bladder cancer risk; 1.9x increased risk for gallbladder cancer']
Rs10490626,[]
Rs1049353,[u'more resistant to treatment for depression']
Rs1050240,[u'common in clinvar']
Rs104894896,[u'common in clinvar']
Rs1050371,[u'common in clinvar']
Rs104895219,[u'common in clinvar']
Rs104895477,[u'common in clinvar']
Rs104895103,[u'common in clinvar']
Rs10489629,[u'0.83x lower risk for spondylitis']
Rs1050692,[u'common in clinvar']
Rs104894848,[u'common in clinvar']
Rs10524523,"[u""higher risk for late-onset Alzheimer's disease""]"
Rs104894854,[u'common in clinvar']
Rs104894966,[u'common in clinvar']
Rs1050393,[u'common in clinvar']
Rs1049296,[u'C1 subtype of transferrin; common in clinvar']
Rs10519262,[u'1.9x risk for AD']
Rs10519612,[u'common in complete genomics']
Rs10491334,[u'common on affy axiom data']
Rs104894884,[u'common in clinvar']
Rs1052912,[]
Rs104895094,[u'common in clinvar']
Rs1049353,[]
Rs1049668,[u'common in clinvar']
Rs10505806,[u'aspirin use may increase colorectal cancer risk a bit']
Rs104895089,[u'common in clinvar']
Rs1051266,[u'common in clinvar']
Rs104894905,[u'common in clinvar']
Rs10509305,[u'carrier for pre-eclampsia associated variant']
Rs104894853,[u'common in clinvar']
Rs104895081,[u'common in clinvar']
Rs1051730,"[u'1.8x increased risk of lung cancer; reduced response to alcohol, therefore possibly increased risk of alcohol abuse']"
Rs104895504,[u'common in clinvar']
Rs1049709,[u'common in clinvar']
Rs1050147,[u'common in clinvar']
Rs10496262,[]
Rs104895549,[u'common in clinvar']
Rs104894933,[u'common in clinvar']
Rs10503929,[]
Rs104894895,[u'common in clinvar']
Rs1056836,[u'normal']
Rs1051730,[u'1.3x increased risk of lung cancer']
Rs1051246,[u'common in clinvar']
Rs104894924,[u'common in clinvar']
Rs10517133,[u'common in complete genomics']
Rs1052133,[u'2x increased bladder cancer risk; 4.5x increased risk for gallbladder cancer']
Rs10491734,[u'normal']
Rs104894969,[u'common in clinvar']
Rs104895093,[u'common in clinvar']
Rs104895091,[u'Carrier of a familial mediterranean fever mutation']
Rs104894907,[u'common in clinvar']
Rs104895225,[u'common in clinvar']
Rs10505806,[u'common/normal; aspirin use reduces colorectal cancer risk a bit']
Rs10497845,[]
Rs10504861,[u'Reduced risk of migraine without aura']
Rs10492519,[u'Slightly increased risk of developing prostate cancer']
Rs10495584,[u'Normal (higher) blood pressure.']
Rs10507391,[u'1.24x increased stroke risk for males']
Rs10503669,[u'associated with higher HDL cholesterol']
Rs104894873,[u'common in clinvar']
Rs1050565,[u'normal']
Rs1050118,[u'common in clinvar']
Rs1053312,[u'common in clinvar']
Rs10510837,[u'common on affy axiom data']
Rs10496265,[u'common on affy axiom data']
Rs1050368,[u'common in clinvar']
Rs104894920,[u'common in clinvar']
Rs10504861,"[u'Major allele, normal risk of migraine']"
Rs104894886,[u'common in clinvar']
Rs104895317,[u'common in clinvar']
Rs1054894,[u'common in clinvar']
Rs10499138,[u'common in complete genomics']
Rs10553596,[u'common/normal']
Rs104894838,[u'common in clinvar']
Rs104894955,[u'common in clinvar']
Rs10503887,[u'common on affy axiom data']
Rs104895223,[u'common in clinvar']
Rs104895075,[u'common in clinvar']
Rs10507391,[u'normal']
Rs1049174,[u'0.77x reduced risk for colorectal cancer']
Rs104895553,[u'common in clinvar']
Rs10494366,[u'average QT interval']
Rs104894869,[u'common in clinvar']
Rs104894940,[u'common in clinvar']
Rs1050344,[u'common in clinvar']
Rs104894956,[u'common in clinvar']
Rs104894878,[u'common in clinvar']
Rs104894877,[u'common in clinvar']
Rs10509681,[u'common on affy axiom data']
Rs10510217,[u'common in complete genomics']
Rs10919071,[u'common on affy axiom data']
Rs1061501,[u'common in complete genomics']
Rs1058396,"[u'Jk(a+/b-) Kidd blood group, barring other variants']"
Rs10761659,"[u""1.5x risk of Crohn's disease""]"
Rs111033271,[u'common in clinvar']
Rs10835638,[u'intermediate serum FSH level among males']
Rs1059506,[u'common in clinvar']
Rs1063192,[u'0.71x reduced risk of myocardial infarction']
Rs111033222,[u'common in clinvar']
Rs10892759,[u'reduced risk for Alzheimers?']
Rs107251,[u'common in complete genomics']
Rs1057141,[u'common in clinvar']
Rs11012732,[u'1.4x increased risk for meningioma']
Rs10947233,[]
Rs10733113,[]
Rs10913469,[u'common in complete genomics']
Rs10892151,[u'common in complete genomics']
Rs1064325,[u'common in clinvar']
Rs111033244,[u'Pendred Syndrome carrier']
Rs1059535,[u'common in clinvar']
Rs1064395,[u'Having any copies of A at this SNP heightens your risk for bipolar disorder and schizophrenia.']
Rs10742772,[u'common in complete genomics']
Rs10757274,[u'~1.2x increased risk for heart disease']
Rs1059632,[u'common in clinvar']
Rs1058396,"[u'Jk(a+/b+) Kidd blood group, barring other variants']"
Rs11045849,[u'common in complete genomics']
Rs1059526,[u'common in clinvar']
Rs11045819,[u'common on affy axiom data']
Rs1059462,[u'common in clinvar']
Rs1080984,[]
Rs10883365,"[u""1.2x increased risk for developing Crohn's disease""]"
Rs1061471,[u'common in complete genomics']
Rs1058065,[u'common in clinvar']
Rs1080998,[]
Rs10953454,[u'common in complete genomics']
Rs11066453,[u'common in complete genomics']
Rs110419,[u'1.3x increased risk for neuroblastoma']
Rs10740051,[u'common in complete genomics']
Rs11064994,[u'common on affy axiom data']
Rs1057909,[u'normal']
Rs10953541,[u'common on affy axiom data']
Rs10971346,[]
Rs10975200,[u'&gt;1.14x risk']
Rs10883365,"[u""1.62x increased risk for developing Crohn's disease""]"
Rs10917661,[u'common in complete genomics']
Rs11010290,[u'Normal']
Rs111033265,[u'common in clinvar']
Rs1056892,[u'common in clinvar']
Rs10784502,[u'better intracranial volume?']
Rs10759932,[u'increased risk for chorionic plate inflammation']
Rs10757278,[u'1.6x risk for Heart Attack; 1.3x risk for Abdominal Aortic Aneurysm and Brain Aneurysm.']
Rs10735781,[u'common']
Rs11073328,[u'increased longevity?']
Rs10937823,[u'normal']
Rs1061646,[u'normal risk']
Rs10883365,[]
Rs111033267,[u'common in clinvar']
Rs1059559,[u'common in complete genomics']
Rs11088859,[u'common on affy axiom data']
Rs10816625,[u'slightly increased risk for breast cancer (1.24x)']
Rs1064074,[u'common in clinvar']
Rs10817610,[u'common in clinvar']
Rs10801935,[u'normal']
Rs1059418,[u'common in clinvar']
Rs1060573,[u'1.25x Increased risk of acne occurrences in Chinese Han population.']
Rs111033242,[u'common in clinvar']
Rs1071743,[u'common in clinvar']
Rs10982256,[]
Rs10814325,[u'common in complete genomics']
Rs10947262,[]
Rs11037909,[u'1.27x type II diabetes risk']
Rs10818854,[u'common on affy axiom data']
Rs10754339,[u'1.45x increased risk of breast cancer']
Rs11090865,[u'common in clinvar']
Rs1057911,[u'carrier of one CYP2C9_50298A&gt;T allele']
Rs1059517,[u'common in clinvar']
Rs1059520,[u'common in clinvar']
Rs1057910,[u'CYP2C9*3 homozygote; average 80% reduction in warfarin metabolism; reduced metabolism of number of other drugs']
Rs11023787,[u'common in complete genomics']
Rs1065757,[u'common in clinvar']
Rs10895068,[u'2.5x increased odds of breast cancer among hormone-using postmenopausal women']
Rs1059046,[u'common in clinvar']
Rs10897346,"[u'if depressed, 2.6x more likely to not respond to antidepressants']"
Rs10817408,[u'normal']
Rs10748045,[u'1.78x risk of Suicidal ideation in depression or bipolar disorder']
Rs10859871,[u'common/normal']
Rs111033220,[u'common in clinvar']
Rs11073328,[u'normal']
Rs1056836,[u'0.3x decreased risk for prostate cancer']
Rs10741657,[u'tend to have lower vitamin D levels']
Rs1059451,[u'common in clinvar']
Rs10958409,[u'normal']
Rs1061234,[u'common in complete genomics']
Rs11053646,[u'common in complete genomics']
Rs10893081,[u'2x increased risk for severe atherosclerosis; 1.2x increased risk for ischemic heart disease']
Rs10958409,[u'1.37x increased aneurysm risk']
Rs10865331,[u'1.2x higher risk for ankylosing spondylitis']
Rs10868025,[]
Rs1057911,[u'normal']
Rs10902758,[u'common in clinvar']
Rs10889677,[u'1x increased risk for certain autoimmune diseases; 2.3x increased risk for Graves disease']
Rs10817610,[u'common in complete genomics']
Rs10982256,[u'normal']
Rs1076560,[u'normal']
Rs1075944,[u'common in complete genomics']
Rs111033171,[u'carrier of familial dysautonomia mutation']
Rs111033190,[u'common in clinvar']
Rs1065776,[u'common in complete genomics']
Rs10931468,[u'common in complete genomics']
Rs10794338,[u'0.57x reduced risk of squamous cell carcinoma of the head and neck']
Rs10863790,[u'common in complete genomics']
Rs10772420,[u'Median more intense perception of quinine']
Rs10867752,[u'common on affy axiom data']
Rs1060573,[u'Decreased risk of acne occurrences in Chinese Han population']
Rs1061815,[u'common in clinvar']
Rs111033206,[u'common in clinvar']
Rs1080990,[]
Rs10911902,[u'common on affy axiom data']
Rs10848554,[u'common in complete genomics']
Rs1063154,[u'common in complete genomics']
Rs1057128,[u'common in clinvar']
Rs10993994,[]
Rs10951671,[]
Rs1063192,[u'0.71x reduced risk of myocardial infarction']
Rs111033217,[u'common in clinvar']
Rs10757278,[u'1.3x risk for Heart Attack. Normal risk for Abdominal Aortic Aneurysm and Brain Aneurysm.']
Rs10757272,[u'Normal risk for Coronary artery disease']
Rs10918594,[u'Shorter QT interval']
Rs10893081,[u'normal']
Rs1059563,[u'common in clinvar']
Rs10821936,[u'Higher risk of childhood acute lymphoblastic leukemia']
Rs10876864,[u'1.18x risk of vitiligo in Chinese']
Rs1057126,[]
Rs1059438,[u'common in clinvar']
Rs10893081,[u'normal']
Rs1057909,[u'carrier of one CYP2C9_42612A&gt;G allele']
Rs10936599,"[u'longer telomeres, longer life?']"
Rs111033199,[u'common in clinvar']
Rs1071742,[u'common in clinvar']
Rs11066015,[u'common in complete genomics']
Rs10937823,[u'some association with bipolar disorder']
Rs1064422,[u'common in clinvar']
Rs1065852,[u'Homozygous for CYP2D6 decreased or non-functioning variants.']
Rs11031006,[u'slightly lower odds of giving birth to fraternal twins']
Rs11066280,[u'common in complete genomics']
Rs1063192,[u'Normal risk of myocardial infarction']
Rs10811661,[u'1.2x increased risk for type-2 diabetes']
Rs10947089,[u'common in complete genomics']
Rs10965235,[u'common in complete genomics']
Rs1059564,[u'common in clinvar']
Rs11065611,[]
Rs111033238,[u'common in clinvar']
Rs1059449,[u'common in clinvar']
Rs1061646,[u'1.16x increased risk for breast cancer']
Rs11006923,[u'common in complete genomics']
Rs1093,[u'common in clinvar']
Rs10984447,[u'Normal risk for multiple sclerosis']
Rs10831284,[]
Rs11012732,[]
Rs1071652,[u'common in clinvar']
Rs10971319,[]
Rs10874639,[u'common on affy axiom data']
Rs11009175,[u'common on affy axiom data']
Rs1063856,[u'common in clinvar']
Rs10987386,[]
Rs11030104,[]
Rs10865331,[u'normal risk ankylosing spondylitis']
Rs111033260,[u'common in clinvar']
Rs1061156,[u'common in clinvar']
Rs1061170,[u'2.5x risk for AMD; higher mortality among nonagenarians']
Rs10946398,[u'common in clinvar']
Rs1101999,[u'common in complete genomics']
Rs1064039,[u'common in clinvar']
Rs111033256,[u'common in clinvar']
Rs1065852,[u'Carrier of one CYP2D6 decreased or non-functioning variant.']
Rs10743430,[u'common in complete genomics']
Rs111033245,[u'common in clinvar']
Rs1061235,[u'26% risk of bad reaction to anti-epileptic carbamazepine']
Rs10761659,"[u""1.2x risk of Crohn's disease""]"
Rs10772420,[u'More intense perception of quinine']
Rs1059516,[u'common in clinvar']
Rs1058370,[u'common in complete genomics']
Rs10994994,[u'common in complete genomics']
Rs1065600,[u'common in clinvar']
Rs10772420,[u'Less intense perception of quinine']
Rs1061646,[u'1.08x increased risk for breast cancer']
Rs11060845,[u'common in complete genomics']
Rs10754339,[u'1.3x increased risk of breast cancer']
Rs1057090,[u'common in clinvar']
Rs1061517,"[u'Observed in a family trio, seems harmless (but has been published as associated with Leigh syndrome)']"
Rs10911193,[]
Rs10868366,[u'average']
Rs1064395,[u'Having the A allele at this SNP makes your risk for developing bipolar disorder or schizophrenia higher.']
Rs1059644,[u'common in clinvar']
Rs1057911,[u'CYP2C9_50298A&gt;T homozygote']
Rs11038871,[u'common in complete genomics']
Rs10871777,[u'adults likely to be 0.22 BMI units higher']
Rs10868366,[]
Rs10762058,[u'common in complete genomics']
Rs10818488,[u'1.4x increased risk for rheumatoid arthritis']
Rs111033200,[u'common in clinvar']
Rs1057910,[u'CYP2C9*3 carrier; average 40% reduction in warfarin metabolism']
Rs11047543,[u'common on affy axiom data']
Rs10889677,[u'1.5x increased risk for certain autoimmune diseases']
Rs1071646,[u'common in clinvar']
Rs11046205,[u'rare genotype associated with longer sleep duration']
Rs1071816,[u'common in clinvar']
Rs1080990,[]
Rs10982256,[u'1.5x risk']
Rs1064644,[u'common in clinvar']
Rs111033215,[u'common in clinvar']
Rs1065502,[u'common in clinvar']
Rs10954174,[u'common in complete genomics']
Rs1059467,[u'common in clinvar']
Rs1064651,"[u""possibly Gaucher's disease, but more likely a mis-oriented interpretation""]"
Rs10984447,[u'1.17x increased risk for multiple sclerosis']
Rs1080983,[u'common']
Rs10988802,[u'common in complete genomics']
Rs10743465,[u'common in complete genomics']
Rs111033212,[u'common in clinvar']
Rs111033232,[u'common in clinvar']
Rs111033198,[u'common in clinvar']
Rs111033253,[u'Carrier of a recessive deafness mutation']
Rs111033180,[u'common in clinvar']
Rs1063739,[u'common in clinvar']
Rs111033258,[u'Usher syndrome Type III']
Rs11006263,[]
Rs1058930,[u'common in complete genomics']
Rs10923931,[u'common in complete genomics']
Rs1080987,[u'common in complete genomics']
Rs1059570,[u'common in clinvar']
Rs10993160,[u'common in complete genomics']
Rs1064039,[u'Higher risk for age-related macular degeneration; slightly higher Alzheimers risk in Caucasians but not Asians']
Rs1061147,[u'Normal 0.97x risk for Age Related Macular Degeneration.']
Rs11086998,[u'common in complete genomics']
Rs1064395,[u'Normal risk of bipolar disorder or schizophrenia']
Rs10993994,[u'increased prostate cancer risk (odds ratio 1.2)']
Rs111033268,[u'common in clinvar']
Rs10892759,[u'normal']
Rs10759932,[u'increased risk for chorionic plate inflammation']
Rs1059452,[u'common in clinvar']
Rs111033194,[]
Rs111033199,[u'Pendred Syndrome']
Rs10741243,[u'common in complete genomics']
Rs10987883,[u'common in complete genomics']
Rs111033258,[u'common in clinvar']
Rs11012732,[u'2x increased risk for meningioma']
Rs11067600,[u'common in complete genomics']
Rs1108580,[u'common in clinvar']
Rs10918594,[u'average QT interval']
Rs10980705,[u'Normal risk for knee osteoarthritis']
Rs111033201,[u'common in clinvar']
Rs111033270,[u'common in clinvar']
Rs11072089,[u'common in complete genomics']
Rs10757274,[u'~1.3x increased risk for heart disease']
Rs111033174,[u'common in clinvar']
Rs10929808,[u'common in complete genomics']
Rs10989591,[u'common']
Rs10994336,[u'common on affy axiom data']
Rs11085825,[u'common in clinvar']
Rs1065852,[u'normal']
Rs10903034,[u'common in complete genomics']
Rs110419,[u'2.6x increased risk for neuroblastoma']
Rs1058371,[u'common in complete genomics']
Rs1059455,[u'common in clinvar']
Rs10859871,[u'Slight (~1.4x) increase in endometriosis risk']
Rs10883841,[u'common on affy axiom data']
Rs11045585,[u'63% chance (higher than average) of docetaxel-induced leukopenia/neutropenia']
Rs1071649,[u'common in clinvar']
Rs10897346,"[u'if depressed, 2.6x more likely to not respond to antidepressants']"
Rs1057868,[u'1.6x higher overall CYP3A activity']
Rs10865331,[u'1.4x higher risk for ankylosing spondylitis']
Rs10937275,[]
Rs10982256,[u'1.3x risk']
Rs1058170,[]
Rs10821936,[u'Higher risk of childhood acute lymphoblastic leukemia']
Rs111033241,[u'common in clinvar']
Rs10984561,[u'common in complete genomics']
Rs10980705,[u'2.3x increased risk for knee osteoarthritis']
Rs10767942,[u'common in complete genomics']
Rs11052552,[u'1.4x risk of type-1 diabetes']
Rs10825992,[u'decreased high myopia risk']
Rs10757278,[u'0.78x reduced risk for Coronary Heart Disease. 0.77x reduced risk for Brain Aneurysm and Abdominal Aortic Aneurysm.']
Rs1061235,[u'26% risk of bad reaction to anti-epileptic carbamazepine']
Rs1058372,[u'common in complete genomics']
Rs10825992,[u'Increased high myopia risk']
Rs1058808,[u'common in clinvar']
Rs10801935,[u'normal']
Rs11052552,[u'normal']
Rs10821936,[u'normal']
Rs10994336,[u'1.45x increased odds of developing bipolar disorder']
Rs10835638,[u'lower serum FSH level among males']
Rs1059426,[u'common in clinvar']
Rs10918594,[u'Longer QT interval']
Rs10895322,[u'common in clinvar']
Rs10868366,[u'reduced risk for AD?']
Rs1059509,[u'common in clinvar']
Rs1058171,[]
Rs10993994,[u'increased prostate cancer risk (odds ratio 1.6)']
Rs1071817,[u'common in clinvar']
Rs10857636,[u'common in complete genomics']
Rs1059542,[u'common in clinvar']
Rs1065406,[u'common in clinvar']
Rs10876864,[u'normal']
Rs10868366,[u'reduced risk for AD?']
Rs10757274,[u'normal']
Rs1061157,[u'common in clinvar']
Rs1081004,[u'common in complete genomics']
Rs1109324,[u'common in complete genomics']
Rs10983755,[u'common in complete genomics']
Rs10902758,[u'common in complete genomics']
Rs10876864,[u'1.18x risk of vitiligo in Chinese']
Rs1058396,"[u'Jk(a-/b+) Kidd blood group, barring other variants']"
Rs1059441,[u'common in clinvar']
Rs10830963,[u'increased type-2 diabetes risk; higher gestational diabetes risk']
Rs10895068,[u'normal']
Rs10914144,[u'common in complete genomics']
Rs10995315,[u'common in complete genomics']
Rs1080985,[u'a common variant']
Rs10818488,[u'normal']
Rs10911193,[]
Rs1059686,[u'common in clinvar']
Rs10810865,[u'common on affy axiom data']
Rs1062923,[u'common on affy axiom data']
Rs111033259,[u'common in clinvar']
Rs11037909,[u'1.47x type II diabetes risk']
Rs1057091,[u'common in clinvar']
Rs10754339,[u'normal']
Rs1080992,[u'common in complete genomics']
Rs1058172,[u'common on affy axiom data']
Rs1080993,[u'common in complete genomics']
Rs10784502,[u'less intracranial volume?']
Rs10936599,"[u'shorter telomeres, shorter life?']"
Rs10794338,[u'0.57x reduced risk of squamous cell carcinoma of the head and neck']
Rs1064588,[u'common in clinvar']
Rs111033199,[u'carrier of Pendred Syndrome allele']
Rs1059537,[u'common in clinvar']
Rs1061517,[u'common in clinvar']
Rs1084004,[u'common in clinvar']
Rs10816625,[u'slightly increased risk for breast cancer (1.12x)']
Rs1076560,[u'influences working memory']
Rs10941112,[u'common in clinvar']
Rs10770612,[u'common in complete genomics']
Rs1061009,[u'common in complete genomics']
Rs1057868,[u'normal']
Rs1076560,[u'1.3x increased risk for alcoholism']
Rs111033258,[u'carrier of Usher syndrome Type III allele']
Rs10937823,[u'some association with bipolar disorder']
Rs1075399,[u'common in complete genomics']
Rs1061234,[u'common in clinvar']
Rs10980705,[u'3.7x increased risk for knee osteoarthritis']
Rs1059060,[u'common in complete genomics']
Rs10947262,[u'1.3x increased risk for osteoarthritis']
Rs10993738,[u'common in complete genomics']
Rs111033204,[u'Carrier of a recessive deafness mutation']
Rs1080986,[u'common in complete genomics']
Rs111033205,[u'common in clinvar']
Rs10797919,[u'common in complete genomics']
Rs111033254,[u'common in clinvar']
Rs111033217,[u'Carrier of a recessive deafness mutation']
Rs111033264,[u'common in clinvar']
Rs11031006,[u'Most common genotype; slightly higher odds of giving birth to fraternal twins']
Rs1059514,[u'common in clinvar']
Rs1061235,[u'Normal carbamazepine sensitivity; common in clinvar']
Rs10849033,[u'common in complete genomics']
Rs10835638,[u'common']
Rs10974944,[u'Increased odds (2 - 4 fold?) of V617F-associated MPNs']
Rs10794338,[u'normal']
Rs10895068,[u'2.5x increased odds of breast cancer among hormone-using postmenopausal women']
Rs111033204,[u'common in clinvar']
Rs10825992,[u'increased high myopia risk']
Rs10741657,[u'tend to have higher vitamin D levels']
Rs11064768,[u'common on affy axiom data']
Rs11042950,[u'common in clinvar']
Rs1061302,[u'common in clinvar']
Rs11102001,[u'common in complete genomics']
Rs111033244,[u'common in clinvar']
Rs10825269,[u'common in clinvar']
Rs10790162,[u'common on affy axiom data']
Rs10830963,[u'normal risk of Type-2 Diabetes']
Rs1076165,[u'common in complete genomics']
Rs11031006,[u'slightly lower odds of giving birth to fraternal twins']
Rs1080985,[u'a common variant']
Rs111033250,[u'common in clinvar']
Rs10883365,"[u""Normal risk of developing Crohn's disease""]"
Rs111033190,[u'Carrier of a recessive deafness mutation']
Rs10958409,[u'1.79x increased aneurysm risk']
Rs11020790,[u'common in complete genomics']
Rs1061147,[u'Reduced 0.34x risk of Age Related Macular Degeneration.']
Rs111033219,[u'common in clinvar']
